Cmpd,Broad,isrndm,KSP5,medTLR5,AdjP
A649,0.6,0,0.0002126203633,0.9914296995,0.000005337273754
A885,-0.41,0,0.0000000001102000187,1.040483563,0
K015,0.1728,1,0.02460345843,0.995266947,0.0003278344253
K018,-0.29,0,0.02034725254,1.020726952,0.0002957055545
K044,0.58,0,0.04604799635,1.022410404,0.0004801210322
K082,0.58,0,0.00005775006276,1.017384734,0.000001771810451
K098,0.1316,1,0.03444071129,0.9997394922,0.0004170041266
K099,0.62,0,0.0000009945923245,1.061670489,0.00000003432910053
K160,0.075921,1,0.03709325504,0.9964374894,0.0004267671788
K165,-0.51,0,0.002682814529,1.051789686,0.00005291391824
K176,-0.02689,1,0.1535132702,1.018067863,0.00132510401
K177,-0.36,0,0.1535651395,1.014824951,0.00132510401
K186,0.6,0,0.0000002071036945,1.02181319,0.000000008169530799
K233,0.049072,1,0.001172112387,1.018989162,0.00002697089248
K323,0.058398,1,0.03473448633,1.021298569,0.0004170041266
K381,-0.36,0,0.008893247339,0.9951495029,0.0001534785532
K394,0.042028,1,0.00000006885493842,1.060718492,0.000000003168773167
K430,-0.41,0,0,1.084344172,0
K448,-0.43,0,0,1.092968082,0
K490,0.58,0,0.00451144155,1.001449366,0.00008304842184
K495,-0.46,0,0.1931810856,1.023940481,0.001568891801
K515,0.59,0,0.04694692886,1.044506648,0.0004801210322
K523,-0.38,0,0.001429133952,0.9745076723,0.00003035546518
K537,0.085977,1,0.01599178116,1.011123702,0.0002453192571
K543,0.54,0,0,0.9292475297,0
K544,-0.02091,1,0.1789583534,1.002317845,0.00149742591
K580,-0.04501,1,0.02493254106,0.9846655339,0.0003278344253
K600,0.092975,1,0.05978939649,1.048981624,0.0005692899012
K669,0.120615,1,0.04070491359,1.009694932,0.0004495874053
K825,0.54,0,0.0000000001384383751,1.078662358,0
K872,0.13394,1,0.0118425304,1.033264921,0.000192354741
K893,-0.00274,1,0.07207641573,1.010147214,0.0006634057554
K923,-0.43,0,0.05309595464,1.049350044,0.0005236133494
K958,-0.37,0,0.000179058554,1.051167214,0.000004944272301